iter	Passed	Remaining
410	4360	6249
411	4374	6243
412	4387	6236
413	4399	6227
414	4411	6218
415	4423	6209
416	4435	6201
417	4447	6193
418	4459	6184
419	4472	6175
420	4483	6166
421	4495	6157
422	4507	6148
423	4519	6139
424	4531	6130
425	4543	6121
426	4556	6114
427	4569	6106
428	4582	6099
429	4595	6091
430	4608	6084
431	4621	6076
432	4633	6067
433	4647	6061
434	4660	6053
435	4674	6046
436	4687	6039
437	4701	6032
438	4714	6024
439	4727	6017
440	4740	6008
441	4753	6000
442	4766	5992
443	4778	5983
444	4792	5976
445	4804	5967
446	4816	5958
447	4829	5950
448	4841	5941
449	4855	5934
450	4872	5930
451	4887	5925
452	4903	5921
453	4919	5915
454	4934	5910
455	4949	5904
456	4964	5898
457	4978	5891
458	4992	5884
459	5006	5877
460	5020	5870
461	5034	5862
462	5049	5856
463	5064	5850
464	5079	5844
465	5093	5836
466	5107	5829
467	5121	5822
468	5135	5814
469	5150	5807
470	5163	5799
471	5177	5791
472	5190	5782
473	5203	5774
474	5216	5765
475	5229	5756
476	5242	5747
477	5254	5738
478	5267	5729
479	5281	5721
480	5293	5712
481	5306	5703
482	5319	5694
483	5332	5684
484	5345	5676
485	5358	5667
486	5370	5657
487	5382	5647
488	5396	5638
489	5408	5629
490	5420	5618
491	5432	5609
492	5445	5600
493	5457	5590
494	5469	5580
495	5482	5570
496	5494	5561
497	5507	5551
498	5519	5542
499	5531	5531
500	5544	5522
501	5556	5512
502	5568	5502
503	5580	5492
504	5592	5481
505	5604	5471
506	5616	5461
507	5628	5450
508	5640	5440
509	5652	5430
510	5664	5420
511	5676	5410
512	5688	5400
513	5700	5390
514	5712	5380
515	5725	5370
516	5739	5362
517	5752	5352
518	5765	5343
519	5778	5334
520	5792	5325
521	5805	5315
522	5817	5305
523	5829	5295
524	5841	5285
525	5854	5275
526	5867	5266
527	5880	5257
528	5894	5247
529	5907	5238
530	5919	5228
531	5932	5218
532	5944	5208
533	5957	5198
534	5969	5188
535	5982	5178
536	5994	5168
537	6007	5158
538	6020	5148
539	6032	5138
540	6044	5128
541	6057	5118
542	6070	5108
543	6082	5098
544	6095	5088
545	6107	5078
546	6120	5069
547	6134	5059
548	6147	5049
549	6160	5040
550	6172	5029
551	6185	5020
552	6198	5010
553	6210	5000
554	6223	4990
555	6235	4979
556	6247	4968
557	6259	4958
558	6271	4947
559	6284	4937
560	6295	4926
561	6307	4916
562	6320	4906
563	6333	4895
564	6345	4885
565	6357	4874
566	6369	4864
567	6382	4854
568	6395	4844
569	6408	4834
570	6420	4823
571	6432	4813
572	6445	4803
573	6457	4792
574	6470	4782
575	6483	4772
576	6495	4761
577	6506	4750
578	6519	4740
579	6531	4729
580	6543	4718
581	6554	4707
582	6566	4696
583	6578	4685
584	6591	4675
585	6603	4665
586	6615	4654
587	6627	4643
588	6639	4633
589	6651	4622
590	6663	4611
591	6675	4600
592	6687	4589
593	6699	4578
594	6710	4567
595	6722	4556
596	6737	4548
597	6749	4537
598	6760	4525
599	6774	4516
600	6786	4505
601	6799	4495
602	6811	4484
603	6824	4474
604	6838	4464
605	6851	4454
606	6864	4444
607	6876	4433
608	6889	4423
609	6902	4412
610	6914	4402
611	6926	4391
612	6939	4380
613	6950	4369
614	6964	4359
615	6976	4349
616	6989	4338
617	7002	4328
618	7015	4318
619	7027	4307
620	7040	4296
621	7052	4285
622	7066	4276
623	7079	4266
624	7091	4255
625	7104	4244
626	7116	4233
627	7128	4222
628	7141	4212
629	7154	4201
630	7167	4191
631	7179	4180
632	7191	4169
633	7204	4159
634	7216	4148
635	7228	4137
636	7241	4126
637	7253	4115
638	7265	4104
639	7278	4093
640	7291	4083
641	7304	4073
642	7317	4062
643	7329	4051
