iter	Logloss
0	0.6722328631
1	0.6528031095
2	0.6353708967
3	0.6194999059
4	0.6046634674
5	0.5910768127
6	0.5783198675
7	0.5666511154
8	0.5560036151
9	0.5462257385
10	0.537553889
11	0.5293022219
12	0.5215680758
13	0.5144451269
14	0.5077760506
15	0.5020238495
16	0.4966814295
17	0.4919081052
18	0.4871293831
19	0.4826907285
20	0.4788467789
21	0.4751309395
22	0.4718284925
23	0.4686788559
24	0.4658554967
25	0.4630041758
26	0.4607658513
27	0.4584042994
28	0.4562752724
29	0.4543013128
30	0.4522991625
31	0.450609347
32	0.44877882
33	0.4471788724
34	0.4456393242
35	0.4443773333
36	0.4431017303
37	0.4418104935
38	0.4405714226
39	0.4399460093
40	0.4389291922
41	0.4379395262
42	0.4370502218
43	0.4361437066
44	0.435458374
45	0.4346514829
46	0.4339499156
47	0.4333773963
48	0.4327614975
49	0.4322784996
50	0.4316841443
51	0.4311255614
52	0.4305458387
53	0.4300586478
54	0.4297018242
55	0.429353714
56	0.428929383
57	0.4285433801
58	0.4280741024
59	0.427602361
60	0.4271209081
61	0.4266668256
62	0.4263624001
63	0.4260720189
64	0.4257093747
65	0.4253822486
66	0.4250258923
67	0.4247087065
68	0.4244861158
69	0.4242683633
70	0.4239979426
71	0.4237513828
72	0.4235156536
73	0.4233031178
74	0.4231078974
75	0.4228342692
76	0.422557977
77	0.4223654429
78	0.4221783702
79	0.4220058759
80	0.4217580446
81	0.4214715322
82	0.4212646739
83	0.42107886
84	0.4208998648
85	0.4207333374
86	0.4205626933
87	0.4203721555
88	0.4201782481
89	0.4199538167
90	0.4197774029
91	0.4196689733
92	0.4194914277
93	0.4193313694
94	0.4191205215
95	0.4189438216
96	0.4187345028
97	0.4186255296
98	0.4184602801
99	0.4182819398
100	0.4181203206
101	0.4179415258
102	0.4177852949
103	0.4176373068
104	0.4174655724
105	0.4172919591
106	0.4171563784
107	0.4169845867
108	0.416830829
109	0.4166578579
110	0.4164886634
111	0.4163848464
112	0.4162269211
113	0.4161428229
114	0.416019392
115	0.4159431108
116	0.4158652973
117	0.4157195346
118	0.4156569099
119	0.4155192312
120	0.415416104
121	0.4152653917
122	0.415157973
123	0.4150567913
124	0.4149155903
125	0.4148436578
126	0.414746542
127	0.414602534
128	0.4144888719
129	0.4143499565
130	0.414235363
131	0.4141014671
132	0.4139098771
133	0.4137923304
134	0.4136346277
135	0.4135004203
136	0.4133563614
137	0.4132496961
138	0.413113966
139	0.4130229441
140	0.4129247761
141	0.4128097471
142	0.4126941268
143	0.4125602436
144	0.4124588331
145	0.4123642381
146	0.4122684638
147	0.4121918678
148	0.4120818265
149	0.4119774755
150	0.4118406455
151	0.4117786853
152	0.4117009417
153	0.411588459
154	0.4115276273
155	0.4114086501
156	0.4113005892
157	0.411216863
158	0.4111329492
159	0.4110258643
160	0.4109372775
161	0.4107630348
162	0.4106602478
163	0.4105550925
164	0.4104687532
165	0.4103831069
166	0.4102850946
167	0.4101062679
168	0.4100291093
169	0.4098845959
170	0.4098240089
171	0.4097308381
172	0.4096326415
173	0.4094954141
174	0.4094049327
175	0.4092490927
176	0.4091064898
177	0.4089597893
178	0.4088556576
179	0.4086982886
180	0.4085735893
181	0.4085170046
182	0.4084340763
183	0.4083050346
184	0.4081689994
185	0.4081125768
186	0.4079829947
187	0.4078433291
188	0.4077830505
189	0.4077395693
190	0.4076580588
